UserID,InstallationDate,InstallationTime,ChangeOutMeterNo,ChangeOutMeterkWh,InstalledMeterNo,InstalledEndpointSN,InstalledMeterkWh,ServiceLatitude,ServiceLongitude,ServiceLocation,ServiceTimeZone,TenantGroup
rompkoh,01/16/25,18:20,400a2a1c,,400a2a1c,1074407964,,,,,,
rompkoh,01/16/25,18:20,00aa00e3,,00aa00e3,11141347,,,,,,
rompkoh,01/16/25,18:20,00aa023e,,00aa023e,11141694,,,,,,
rompkoh,01/16/25,18:20,00aa0232,,00aa0232,11141682,,,,,,
rompkoh,01/16/25,18:20,00aa01f5,,00aa01f5,11141621,,,,,,
rompkoh,01/16/25,18:20,00aa0107,,00aa0107,11141383,,,,,,
rompkoh,01/16/25,18:20,00aa01d5,,00aa01d5,11141589,,,,,,
rompkoh,01/16/25,18:20,400a2a0c,,400a2a0c,1074407948,,,,,,
rompkoh,01/16/25,18:20,400a2a32,,400a2a32,1074407986,,,,,,
rompkoh,01/16/25,18:20,400a2a34,,400a2a34,1074407988,,,,,,
rompkoh,01/16/25,18:20,400a29f0,,400a29f0,1074407920,,,,,,
rompkoh,01/16/25,18:20,00aa0129,,00aa0129,11141417,,,,,,
rompkoh,01/16/25,18:20,400a2a48,,400a2a48,1074408008,,,,,,
rompkoh,01/16/25,18:20,00aa08b2,,00aa08b2,11143346,,,,,,
rompkoh,01/16/25,18:20,400a2a54,,400a2a54,1074408020,,,,,,
rompkoh,01/16/25,18:20,400a2a1a,,400a2a1a,1074407962,,,,,,
rompkoh,01/16/25,18:20,400a2a12,,400a2a12,1074407954,,,,,,
rompkoh,01/16/25,18:20,400a2a22,,400a2a22,1074407970,,,,,,
rompkoh,01/16/25,18:20,00aa006d,,00aa006d,11141229,,,,,,
rompkoh,01/16/25,18:20,00aa00c7,,00aa00c7,11141319,,,,,,
rompkoh,01/16/25,18:20,00aa032d,,00aa032d,11141933,,,,,,
rompkoh,01/16/25,18:20,00aa0123,,00aa0123,11141411,,,,,,
rompkoh,01/16/25,18:20,00aa01f3,,00aa01f3,11141619,,,,,,
